Sites,Lon,Lat
Boiadeiro,-48.32757726,-24.09556344
Pedro_Onorio,-48.37045314,-24.09514315
Carmo_Messias,-47.0554803,-23.75020318
Meninas,-48.31861402,-24.06611857
Radji,-48.39452513,-24.09693655
Machucado,-48.38695224,-24.08250124
Lira,-48.30944781,-24.04139014
Yoko,-48.37555699,-24.04778224
Padre_Pedro,-48.34710554,-24.08686914
Torres,-47.47896111,-23.89301053
Radialista,-48.34586239,-24.10758847
Alce,-47.4603713,-23.85119925
Paulo_Nunes,-48.33833887,-24.10195191
Dito,-47.04576966,-23.76838933
Estrada,-47.4908037,-23.87368271
Cromossomo,-48.30060366,-24.09955678
Dn_Ivone,-47.44917631,-23.85450103
Jeanzinho,-47.46573948,-23.90297199
Alteres,-48.32628037,-24.05714601
Alcides,-47.06462663,-23.74428487
Tereza,-47.0721041,-23.70854907
Fuzue,-47.44973052,-23.84378638
Dito_Andre,-47.05896843,-23.7356207
Bicudinho,-47.48320904,-23.886172
Beto_Jamil,-47.07236595,-23.71519059
Lila,-47.11794393,-23.73039988
Godoy,-47.07332729,-23.72451323
Jeanzao,-47.44377308,-23.86782027
Luiza_Osmal,-47.06232842,-23.73786013
Reizinho,-47.09102514,-23.68988532
Baleia,-47.46038831,-23.88895796
Osasco,-47.45390253,-23.90785534
Eme,-47.48037067,-23.87632457
Linha,-47.47195064,-23.86765905
Japones,-47.06717972,-23.69410599
Bojado,-48.35224789,-24.05621681
Falopio,-48.30056252,-24.05694698
Maria,-47.08768302,-23.71521029
Haras,-47.42247746,-23.85751421
Mioko,-47.06219443,-23.72498715
Professor,-47.46969586,-23.91844341
Divisa,-48.3752839,-24.06361787
Citadini,-48.39356826,-24.06404795
Cristo,-47.47579157,-23.85130409
Nelson,-47.09767808,-23.71171646
Pedro,-47.09101516,-23.71386517
Teomar,-47.44650598,-23.83355604
Takimoto,-47.08218033,-23.70213893
Medico,-47.48015121,-23.91369847
Antenor_Frag,-47.45232393,-23.91993127
Odorico,-47.43600577,-23.88076159
Pedroso,-47.07458673,-23.73592647
Harpa,-48.31388925,-24.04944674
Areial,-48.16844414,-24.20919209
Campinho,-48.2958006,-24.24148094
Capinzal,-48.23408171,-24.18021937
Cobrinha,-47.40548484,-23.96109113
Criscross,-47.37691681,-23.95719435
Escumador,-48.19754193,-24.20507381
Piramba,-47.40958719,-23.951386
Porteira,-47.39624546,-23.94696405
T1,-46.95858157,-23.67529012
T2,-46.95643301,-23.69557844
T3,-46.9451067,-23.71464612
TR,-46.9966061,-23.7960889
